2026-01-24 00:20:24.7427||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 00:25:34.0967||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 00:40:08.8297||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 00:40:20.0912||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 00:46:20.2676||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 01:05:27.7329||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 01:08:33.4607||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 16:57:44.3883||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:00:18.5878||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:01:33.4365||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:05:56.6831||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:06:12.0466||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:10:57.6223||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:13:21.2558||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:13:31.4981||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:14:45.8414||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:15:09.0873||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:20:02.8408||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:20:15.7466||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:23:52.0789||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:26:19.5488||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:29:23.0054||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:29:31.8144||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:43:53.9435||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 17:44:17.6657||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:10:05.1759||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:11:29.7913||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:11:59.8258||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:14:13.3963||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:14:23.9384||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:17:44.0779||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:19:54.7530||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:20:16.5327||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:22:52.5629||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:23:00.9021||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:26:22.4489||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:26:31.2826||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:29:23.4641||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:33:40.3275||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:35:15.6655||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:35:45.4385||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:37:19.5322||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:40:17.2935||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 19:40:47.9946||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 20:28:52.0904||INFO|Rafeek.API.Program|Application starting up |url: |action: 
2026-01-24 20:29:38.9662||INFO|Rafeek.API.Program|Application starting up |url: |action: 
